Franchise,Num,Year,Tm,Abbrev,Now,ActiveVal,Lg,Div,W,L,Wpct,TopWpct,Finish,Playoffs,WorldSeries,PlayoffRecord,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,AvgAttend
San Francisco Giants,7,1908,New York Giants,,,2,NL,,98,56,0.636363636,none,2,,n,,Polo Grounds IV,910000,11375,1st of 8,$,102,105,
St. Louis Cardinals,5,1908,St. Louis Cardinals,,,1,NL,,49,105,0.318181818,none,8,,n,,Robison Field,205129,2664,8th of 8,$,100,95,
Detroit Tigers,13,1909,Detroit Tigers,,,1,AL,,98,54,0.644736842,toppct,1,Lost_WS ,n ,4-3),Bennett Park,490490,6288,4th of 8,$,102,104,
Pittsburgh Pirates,4,1909,Pittsburgh Pirates,,,1,NL,,110,42,0.723684211,both,1,Won_WS ,y,4-3),Forbes Field &  Exposition Park III,534950,6772,3rd of 8,$,99,105,
Atlanta Braves,1,1909,Boston Doves,,,7,NL,,45,108,0.294117647,none,8,,n,,South End Grounds III,195188,2568,8th of 8,$,108,104,
Baltimore Orioles,9,1909,St. Louis Browns,,,2,AL,,61,89,0.406666667,none,7,,n ,,Sportsman's Park III,366274,4636,6th of 8,$,98,93,
Boston Red Socks,10,1909,Boston Red Sox,,,1,AL,,88,63,0.582781457,none,3,,n,,Huntington Avenue Baseball Grounds,668965,8920,1st of 8,$,101,102,
Chicago Cubs,2,1909,Chicago Cubs,,,1,NL,,104,49,0.679738562,none,2,,n,,West Side Grounds,633480,8227,2nd of 8,$,98,103,
Chicago White Sox,11,1909,Chicago White Sox,,,1,AL,,78,74,0.513157895,none,4,,n,,South Side Park III,478400,5906,5th of 8,$,95,96,
Cincinnati Reds,3,1909,Cincinnati Reds,,,3,NL,,77,76,0.503267974,none,4,,n,,Palace of the Fans,424643,5308,4th of 8,$,100,99,
Cleveland Indians,12,1909,Cleveland Naps,,,2,AL,,71,82,0.464052288,none,6,,n,,League Park I,354627,4606,7th of 8,$,103,104,
Los Angeles Dodgers,8,1909,Brooklyn Superbas,,,6,NL,,55,98,0.359477124,none,6,,n ,,Washington Park III,321300,4067,5th of 8,$,100,96,
Minnesota Twins,14,1909,Washington Senators,,,2,AL,,42,110,0.276315789,none,8,,n,,American League Park II,205199,2665,8th of 8,$,98,95,
New York Yankees,15,1909,New York Highlanders,,,2,AL,,74,77,0.490066225,none,5,,n ,,Hilltop Park,501000,6506,3rd of 8,$,102,101,
Oakland Athletics,16,1909,Philadelphia Athletics,,,2,AL,,95,58,0.620915033,none,2,,n,,Shibe Park,674915,8880,2nd of 8,$,97,102,
Philadelphia Phillies,6,1909,Philadelphia Phillies,,,1,NL,,74,79,0.483660131,none,5,,n ,,Baker Bowl,303177,3937,7th of 8,$,100,101,
San Francisco Giants,7,1909,New York Giants,,,2,NL,,92,61,0.60130719,none,3,,n,,Polo Grounds IV,783700,10178,1st of 8,$,98,102,
St. Louis Cardinals,5,1909,St. Louis Cardinals,,,1,NL,,54,98,0.355263158,none,7,,n,,Robison Field,299982,3947,6th of 8,$,97,94,
Chicago Cubs,2,1910,Chicago Cubs,,,1,NL,,104,50,0.675324675,toppct,1,Lost_WS ,n,4-1),West Side Grounds,526152,6833,1st of 8,$,95,99,
Oakland Athletics,16,1910,Philadelphia Athletics,,,2,AL,,102,48,0.68,both,1,Won_WS ,y,4-1),Shibe Park,588905,7550,1st of 8,$,94,99,
Atlanta Braves,1,1910,Boston Doves,,,7,NL,,53,100,0.346405229,none,8,,n,,South End Grounds III,149027,1911,8th of 8,$,109,103,
Baltimore Orioles,9,1910,St. Louis Browns,,,2,AL,,47,107,0.305194805,none,8,,n ,,Sportsman's Park III,249889,3163,8th of 8,$,98,94,
Boston Red Socks,10,1910,Boston Red Sox,,,1,AL,,81,72,0.529411765,none,4,,n,,Huntington Avenue Baseball Grounds,584619,7308,2nd of 8,$,101,102,
Chicago White Sox,11,1910,Chicago White Sox,,,1,AL,,68,85,0.444444444,none,6,,n,,White Sox Park &  South Side Park III,552084,6988,3rd of 8,$,95,95,
Cincinnati Reds,3,1910,Cincinnati Reds,,,3,NL,,75,79,0.487012987,none,5,,n,,Palace of the Fans,380622,4943,4th of 8,$,97,96,
Cleveland Indians,12,1910,Cleveland Naps,,,2,AL,,71,81,0.467105263,none,5,,n,,League Park II,293456,3668,6th of 8,$,103,101,
Detroit Tigers,13,1910,Detroit Tigers,,,1,AL,,86,68,0.558441558,none,3,,n,,Bennett Park,391288,5017,4th of 8,$,104,107,
Los Angeles Dodgers,8,1910,Brooklyn Superbas,,,6,NL,,64,90,0.415584416,none,6,,n ,,Washington Park III,279321,3492,7th of 8,$,100,97,
Minnesota Twins,14,1910,Washington Senators,,,2,AL,,66,85,0.437086093,none,7,,n,,American League Park II,254591,3306,7th of 8,$,99,95,
New York Yankees,15,1910,New York Highlanders,,,2,AL,,88,63,0.582781457,none,2,,n ,,Hilltop Park,355857,4622,5th of 8,$,105,106,
