Franchise,Num,Year,Tm,Abbrev,Now,ActiveVal,Lg,Div,W,L,Wpct,TopWpct,Finish,Playoffs,WorldSeries,PlayoffRecord,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,AvgAttend
Chicago Cubs,2,1946,Chicago Cubs,,,1,NL,,82,71,0.535947712,none,3,,n,,Wrigley Field,1342970,17441,2nd of 8,$,97,98,
Chicago White Sox,11,1946,Chicago White Sox,,,1,AL,,74,80,0.480519481,none,5,,n,,Comiskey Park I,983403,12448,6th of 8,$,97,96,
Cincinnati Reds,3,1946,Cincinnati Reds,,,3,NL,,67,87,0.435064935,none,6,,n ,,Crosley Field,715751,9295,8th of 8,$,99,97,
Cleveland Indians,12,1946,Cleveland Indians,,,1,AL,,68,86,0.441558442,none,6,,n,,Cleveland Stadium &  League Park II,1057289,13731,4th of 8,$,94,93,
Detroit Tigers,13,1946,Detroit Tigers,,,1,AL,,92,62,0.597402597,none,2,,n,,Briggs Stadium,1722590,21805,2nd of 8,$,105,107,
Los Angeles Dodgers,8,1946,Brooklyn Dodgers,,,2,NL,,96,60,0.615384615,none,2,,n ,,Ebbets Field,1796824,22745,1st of 8,$,99,101,
Minnesota Twins,14,1946,Washington Senators,,,2,AL,,76,78,0.493506494,none,4,,n,,Griffith Stadium,1027216,13516,5th of 8,$,95,94,
New York Yankees,15,1946,New York Yankees,,,1,AL,,87,67,0.564935065,none,3,,n,,Yankee Stadium I,2265512,29422,1st of 8,$,98,101,
Oakland Athletics,16,1946,Philadelphia Athletics,,,2,AL,,49,105,0.318181818,none,8,,n,,Shibe Park,621793,7972,7th of 8,$,100,98,
Philadelphia Phillies,6,1946,Philadelphia Phillies,,,1,NL,,69,85,0.448051948,none,5,,n ,,Shibe Park,1045247,13401,5th of 8,$,100,97,
Pittsburgh Pirates,4,1946,Pittsburgh Pirates,,,1,NL,,63,91,0.409090909,none,7,,n,,Forbes Field,749962,9615,7th of 8,$,104,103,
San Francisco Giants,7,1946,New York Giants,,,2,NL,,61,93,0.396103896,none,8,,n,,Polo Grounds V,1219873,15843,3rd of 8,$,101,100,
Los Angeles Dodgers,8,1947,Brooklyn Dodgers,,,2,NL,,94,60,0.61038961,toppct,1,Lost_WS ,n ,4-3),Ebbets Field,1807526,23173,1st of 8,$,101,104,
New York Yankees,15,1947,New York Yankees,,,1,AL,,97,57,0.62987013,both,1,Won_WS ,y,4-3),Yankee Stadium I,2178937,28298,1st of 8,$,95,99,
Atlanta Braves,1,1947,Boston Braves,,,3,NL,,86,68,0.558441558,none,3,,n ,,Braves Field,1277361,16589,4th of 8,$,97,98,
Baltimore Orioles,9,1947,St. Louis Browns,,,2,AL,,59,95,0.383116883,none,8,,n,,Sportsman's Park III,320474,4162,8th of 8,$,105,102,
Boston Red Socks,10,1947,Boston Red Sox,,,1,AL,,83,71,0.538961039,none,3,,n ,,Fenway Park,1427315,17621,3rd of 8,$,105,107,
Chicago Cubs,2,1947,Chicago Cubs,,,1,NL,,69,85,0.448051948,none,6,,n,,Wrigley Field,1364039,17266,3rd of 8,$,97,96,
Chicago White Sox,11,1947,Chicago White Sox,,,1,AL,,70,84,0.454545455,none,6,,n,,Comiskey Park I,876948,11693,5th of 8,$,98,96,
Cincinnati Reds,3,1947,Cincinnati Reds,,,3,NL,,73,81,0.474025974,none,5,,n ,,Crosley Field,899975,11688,8th of 8,$,102,100,
Cleveland Indians,12,1947,Cleveland Indians,,,1,AL,,80,74,0.519480519,none,4,,n,,Cleveland Stadium,1521978,19513,2nd of 8,$,94,98,
Detroit Tigers,13,1947,Detroit Tigers,,,1,AL,,85,69,0.551948052,none,2,,n,,Briggs Stadium,1398093,17476,4th of 8,$,103,104,
Minnesota Twins,14,1947,Washington Senators,,,2,AL,,64,90,0.415584416,none,7,,n,,Griffith Stadium,850758,11049,7th of 8,$,100,97,
Oakland Athletics,16,1947,Philadelphia Athletics,,,2,AL,,78,76,0.506493506,none,5,,n,,Shibe Park,911566,11687,6th of 8,$,103,102,
Philadelphia Phillies,6,1947,Philadelphia Phillies,,,1,NL,,62,92,0.402597403,none,7,,n ,,Shibe Park,907332,11784,7th of 8,$,98,96,
Pittsburgh Pirates,4,1947,Pittsburgh Pirates,,,1,NL,,62,92,0.402597403,none,7,,n,,Forbes Field,1283531,16247,5th of 8,$,104,103,
San Francisco Giants,7,1947,New York Giants,,,2,NL,,81,73,0.525974026,none,4,,n,,Polo Grounds V,1600793,21063,2nd of 8,$,100,101,
St. Louis Cardinals,5,1947,St. Louis Cardinals,,,1,NL,,89,65,0.577922078,none,2,,n,,Sportsman's Park III,1247913,16207,6th of 8,$,101,104,
Atlanta Braves,1,1948,Boston Braves,,,3,NL,,91,62,0.594771242,toppct,1,Lost_WS ,n ,4-2),Braves Field,1455439,19151,1st of 8,$,98,99,
Cleveland Indians,12,1948,Cleveland Indians,,,1,AL,,97,58,0.625806452,both,1,Won_WS ,y,4-2),Cleveland Stadium,2620627,33172,1st of 8,$,95,97,
Baltimore Orioles,9,1948,St. Louis Browns,,,2,AL,,59,94,0.385620915,none,6,,n,,Sportsman's Park III,335564,4415,8th of 8,$,106,103,
Boston Red Socks,10,1948,Boston Red Sox,,,1,AL,,96,59,0.619354839,none,2,,n ,,Fenway Park,1558798,19985,4th of 8,$,102,105,
Chicago Cubs,2,1948,Chicago Cubs,,,1,NL,,64,90,0.415584416,none,8,,n,,Wrigley Field,1237792,15869,5th of 8,$,98,95,
Chicago White Sox,11,1948,Chicago White Sox,,,1,AL,,51,101,0.335526316,none,8,,n,,Comiskey Park I,777844,10235,6th of 8,$,99,96,
Cincinnati Reds,3,1948,Cincinnati Reds,,,3,NL,,64,89,0.418300654,none,7,,n ,,Crosley Field,823386,10693,7th of 8,$,99,97,
Detroit Tigers,13,1948,Detroit Tigers,,,1,AL,,78,76,0.506493506,none,5,,n,,Briggs Stadium,1743035,22637,3rd of 8,$,102,103,
Los Angeles Dodgers,8,1948,Brooklyn Dodgers,,,2,NL,,84,70,0.545454545,none,3,,n,,Ebbets Field,1398967,17935,4th of 8,$,101,104,
Minnesota Twins,14,1948,Washington Senators,,,2,AL,,56,97,0.366013072,none,7,,n,,Griffith Stadium,795254,10196,7th of 8,$,101,97,
New York Yankees,15,1948,New York Yankees,,,1,AL,,94,60,0.61038961,none,3,,n,,Yankee Stadium I,2373901,30830,2nd of 8,$,95,99,
Oakland Athletics,16,1948,Philadelphia Athletics,,,2,AL,,84,70,0.545454545,none,4,,n,,Shibe Park,945076,12274,5th of 8,$,101,101,
Philadelphia Phillies,6,1948,Philadelphia Phillies,,,1,NL,,66,88,0.428571429,none,6,,n ,,Shibe Park,767429,10098,8th of 8,$,99,98,
Pittsburgh Pirates,4,1948,Pittsburgh Pirates,,,1,NL,,83,71,0.538961039,none,4,,n,,Forbes Field,1517021,18963,2nd of 8,$,103,102,
San Francisco Giants,7,1948,New York Giants,,,2,NL,,78,76,0.506493506,none,5,,n,,Polo Grounds V,1459269,18952,3rd of 8,$,100,101,
St. Louis Cardinals,5,1948,St. Louis Cardinals,,,1,NL,,85,69,0.551948052,none,2,,n,,Sportsman's Park III,1111440,14434,6th of 8,$,103,106,
Los Angeles Dodgers,8,1949,Brooklyn Dodgers,,,2,NL,,97,57,0.62987013,toppct,1,Lost_WS ,n ,4-1),Ebbets Field,1633747,20945,1st of 8,$,102,105,
New York Yankees,15,1949,New York Yankees,,,1,AL,,97,57,0.62987013,both,1,Won_WS ,y,4-1),Yankee Stadium I,2283676,29278,1st of 8,$,96,100,
Atlanta Braves,1,1949,Boston Braves,,,3,NL,,75,79,0.487012987,none,4,,n,,Braves Field,1081795,14049,6th of 8,$,94,95,
Baltimore Orioles,9,1949,St. Louis Browns,,,2,AL,,53,101,0.344155844,none,7,,n,,Sportsman's Park III,270936,3519,8th of 8,$,109,105,
Boston Red Socks,10,1949,Boston Red Sox,,,1,AL,,96,58,0.623376623,none,2,,n ,,Fenway Park,1596650,20736,4th of 8,$,104,108,
Chicago Cubs,2,1949,Chicago Cubs,,,1,NL,,61,93,0.396103896,none,8,,n,,Wrigley Field,1143139,14846,5th of 8,$,99,97,
Chicago White Sox,11,1949,Chicago White Sox,,,1,AL,,63,91,0.409090909,none,6,,n,,Comiskey Park I,937151,12171,5th of 8,$,99,96,
Cincinnati Reds,3,1949,Cincinnati Reds,,,3,NL,,62,92,0.402597403,none,7,,n ,,Crosley Field,707782,9074,8th of 8,$,104,101,
Cleveland Indians,12,1949,Cleveland Indians,,,1,AL,,89,65,0.577922078,none,3,,n,,Cleveland Stadium,2233771,29010,2nd of 8,$,95,98,
Detroit Tigers,13,1949,Detroit Tigers,,,1,AL,,87,67,0.564935065,none,4,,n,,Briggs Stadium,1821204,23349,3rd of 8,$,99,101,
Minnesota Twins,14,1949,Washington Senators,,,2,AL,,50,104,0.324675325,none,8,,n,,Griffith Stadium,770745,10010,7th of 8,$,101,98,
Oakland Athletics,16,1949,Philadelphia Athletics,,,2,AL,,81,73,0.525974026,none,5,,n,,Shibe Park,816514,10604,6th of 8,$,98,97,
Philadelphia Phillies,6,1949,Philadelphia Phillies,,,1,NL,,81,73,0.525974026,none,3,,n ,,Shibe Park,819698,10645,7th of 8,$,97,97,
Pittsburgh Pirates,4,1949,Pittsburgh Pirates,,,1,NL,,71,83,0.461038961,none,6,,n,,Forbes Field,1449435,18824,2nd of 8,$,104,102,
San Francisco Giants,7,1949,New York Giants,,,2,NL,,73,81,0.474025974,none,5,,n,,Polo Grounds V,1218446,15423,4th of 8,$,99,101,
St. Louis Cardinals,5,1949,St. Louis Cardinals,,,1,NL,,96,58,0.623376623,none,2,,n,,Sportsman's Park III,1430676,18110,3rd of 8,$,103,104,
Philadelphia Phillies,6,1950,Philadelphia Phillies,,,1,NL,,91,63,0.590909091,toppct,1,Lost_WS ,n ,4-0),Shibe Park,1217035,15603,1st of 8,$,97,98,
New York Yankees,15,1950,New York Yankees,,,1,AL,,98,56,0.636363636,both,1,Won_WS ,y,4-0),Yankee Stadium I,2081380,27031,1st of 8,$,94,97,
Atlanta Braves,1,1950,Boston Braves,,,3,NL,,83,71,0.538961039,none,4,,n,,Braves Field,944391,11954,7th of 8,$,93,94,
Baltimore Orioles,9,1950,St. Louis Browns,,,2,AL,,58,96,0.376623377,none,7,,n,,Sportsman's Park III,247131,3340,8th of 8,$,108,104,
Boston Red Socks,10,1950,Boston Red Sox,,,1,AL,,94,60,0.61038961,none,3,,n ,,Fenway Park,1344080,17456,4th of 8,$,108,111,
Chicago Cubs,2,1950,Chicago Cubs,,,1,NL,,64,89,0.418300654,none,7,,n,,Wrigley Field,1165944,14948,4th of 8,$,102,99,
Chicago White Sox,11,1950,Chicago White Sox,,,1,AL,,60,94,0.38961039,none,6,,n,,Comiskey Park I,781330,9890,5th of 8,$,98,97,
Cincinnati Reds,3,1950,Cincinnati Reds,,,3,NL,,66,87,0.431372549,none,6,,n ,,Crosley Field,538794,7089,8th of 8,$,102,100,
Cleveland Indians,12,1950,Cleveland Indians,,,1,AL,,92,62,0.597402597,none,4,,n,,Cleveland Stadium,1727464,22435,3rd of 8,$,94,97,
Detroit Tigers,13,1950,Detroit Tigers,,,1,AL,,95,59,0.616883117,none,2,,n,,Briggs Stadium,1951474,24092,2nd of 8,$,102,103,
Los Angeles Dodgers,8,1950,Brooklyn Dodgers,,,2,NL,,89,65,0.577922078,none,2,,n,,Ebbets Field,1185896,15204,2nd of 8,$,99,103,
Minnesota Twins,14,1950,Washington Senators,,,2,AL,,67,87,0.435064935,none,5,,n,,Griffith Stadium,699697,8970,6th of 8,$,98,95,
Oakland Athletics,16,1950,Philadelphia Athletics,,,2,AL,,52,102,0.337662338,none,8,,n,,Shibe Park,309805,4023,7th of 8,$,99,98,
Pittsburgh Pirates,4,1950,Pittsburgh Pirates,,,1,NL,,57,96,0.37254902,none,8,,n,,Forbes Field,1166267,15146,3rd of 8,$,106,103,
San Francisco Giants,7,1950,New York Giants,,,2,NL,,86,68,0.558441558,none,3,,n,,Polo Grounds V,1008878,13275,6th of 8,$,99,101,
St. Louis Cardinals,5,1950,St. Louis Cardinals,,,1,NL,,78,75,0.509803922,none,5,,n,,Sportsman's Park III,1093411,14387,5th of 8,$,103,104,
San Francisco Giants,7,1951,New York Giants,,,2,NL,,98,59,0.624203822,toppct,1,Lost_WS ,n,4-2),Polo Grounds V,1059539,13584,2nd of 8,$,99,101,
New York Yankees,15,1951,New York Yankees,,,1,AL,,98,56,0.636363636,both,1,Won_WS ,y,4-2),Yankee Stadium I,1950107,25001,1st of 8,$,93,97,
Atlanta Braves,1,1951,Boston Braves,,,3,NL,,76,78,0.493506494,none,4,,n,,Braves Field,487475,6250,8th of 8,$,93,93,
Baltimore Orioles,9,1951,St. Louis Browns,,,2,AL,,52,102,0.337662338,none,8,,n,,Sportsman's Park III,293790,3815,8th of 8,$,107,103,
Boston Red Socks,10,1951,Boston Red Sox,,,1,AL,,87,67,0.564935065,none,3,,n ,,Fenway Park,1312282,17497,3rd of 8,$,109,110,
Chicago Cubs,2,1951,Chicago Cubs,,,1,NL,,62,92,0.402597403,none,8,,n,,Wrigley Field,894415,11616,6th of 8,$,104,102,
Chicago White Sox,11,1951,Chicago White Sox,,,1,AL,,81,73,0.525974026,none,4,,n,,Comiskey Park I,1328234,17029,4th of 8,$,98,98,
Cincinnati Reds,3,1951,Cincinnati Reds,,,3,NL,,68,86,0.441558442,none,6,,n ,,Crosley Field,588268,7640,7th of 8,$,103,101,
Cleveland Indians,12,1951,Cleveland Indians,,,1,AL,,93,61,0.603896104,none,2,,n,,Cleveland Stadium,1704984,22143,2nd of 8,$,92,95,
Detroit Tigers,13,1951,Detroit Tigers,,,1,AL,,73,81,0.474025974,none,5,,n,,Briggs Stadium,1132641,14710,5th of 8,$,101,100,
Los Angeles Dodgers,8,1951,Brooklyn Dodgers,,,2,NL,,97,60,0.617834395,none,2,,n,,Ebbets Field,1282628,16444,1st of 8,$,99,102,
Minnesota Twins,14,1951,Washington Senators,,,2,AL,,62,92,0.402597403,none,7,,n,,Griffith Stadium,695167,9147,6th of 8,$,100,98,
Oakland Athletics,16,1951,Philadelphia Athletics,,,2,AL,,70,84,0.454545455,none,6,,n,,Shibe Park,465469,5892,7th of 8,$,103,101,
Philadelphia Phillies,6,1951,Philadelphia Phillies,,,1,NL,,73,81,0.474025974,none,5,,n ,,Shibe Park,937658,12177,5th of 8,$,97,99,
Pittsburgh Pirates,4,1951,Pittsburgh Pirates,,,1,NL,,64,90,0.415584416,none,7,,n,,Forbes Field,980590,12572,4th of 8,$,106,102,
St. Louis Cardinals,5,1951,St. Louis Cardinals,,,1,NL,,81,73,0.525974026,none,3,,n,,Sportsman's Park III,1013429,12828,3rd of 8,$,100,100,
Los Angeles Dodgers,8,1952,Brooklyn Dodgers,,,2,NL,,96,57,0.62745098,toppct,1,Lost_WS ,n ,4-3),Ebbets Field,1088704,13609,1st of 8,$,98,102,
New York Yankees,15,1952,New York Yankees,,,1,AL,,95,59,0.616883117,both,1,Won_WS ,y,4-3),Yankee Stadium I,1629665,21164,1st of 8,$,91,95,
Atlanta Braves,1,1952,Boston Braves,,,3,NL,,64,89,0.418300654,none,7,,n,,Braves Field,281278,3653,8th of 8,$,98,97,
Baltimore Orioles,9,1952,St. Louis Browns,,,2,AL,,64,90,0.415584416,none,7,,n,,Sportsman's Park III,518796,6651,8th of 8,$,106,103,
Boston Red Socks,10,1952,Boston Red Sox,,,1,AL,,76,78,0.493506494,none,6,,n ,,Fenway Park,1115750,14490,4th of 8,$,107,108,
Chicago Cubs,2,1952,Chicago Cubs,,,1,NL,,77,77,0.5,none,5,,n,,Wrigley Field,1024826,13309,2nd of 8,$,103,101,
Chicago White Sox,11,1952,Chicago White Sox,,,1,AL,,81,73,0.525974026,none,3,,n,,Comiskey Park I,1231675,15591,3rd of 8,$,99,101,
Cincinnati Reds,3,1952,Cincinnati Reds,,,3,NL,,69,85,0.448051948,none,6,,n ,,Crosley Field,604197,7847,7th of 8,$,100,99,
Cleveland Indians,12,1952,Cleveland Indians,,,1,AL,,93,61,0.603896104,none,2,,n,,Cleveland Stadium,1444607,18761,2nd of 8,$,91,94,
Detroit Tigers,13,1952,Detroit Tigers,,,1,AL,,50,104,0.324675325,none,8,,n,,Briggs Stadium,1026846,13336,5th of 8,$,103,100,
Minnesota Twins,14,1952,Washington Senators,,,2,AL,,78,76,0.506493506,none,5,,n,,Griffith Stadium,699457,8967,6th of 8,$,97,97,
Oakland Athletics,16,1952,Philadelphia Athletics,,,2,AL,,79,75,0.512987013,none,4,,n,,Shibe Park,627100,8040,7th of 8,$,108,106,
Philadelphia Phillies,6,1952,Philadelphia Phillies,,,1,NL,,87,67,0.564935065,none,4,,n ,,Shibe Park,755417,9940,5th of 8,$,98,99,
Pittsburgh Pirates,4,1952,Pittsburgh Pirates,,,1,NL,,42,112,0.272727273,none,8,,n,,Forbes Field,686673,8918,6th of 8,$,107,102,
San Francisco Giants,7,1952,New York Giants,,,2,NL,,92,62,0.597402597,none,2,,n,,Polo Grounds V,984940,12791,3rd of 8,$,99,101,
St. Louis Cardinals,5,1952,St. Louis Cardinals,,,1,NL,,88,66,0.571428571,none,3,,n,,Sportsman's Park III,913113,11859,4th of 8,$,99,100,
Los Angeles Dodgers,8,1953,Brooklyn Dodgers,,,2,NL,,105,49,0.681818182,toppct,1,Lost_WS ,n ,4-2),Ebbets Field,1163419,14916,2nd of 8,$,100,103,
New York Yankees,15,1953,New York Yankees,,,1,AL,,99,52,0.655629139,both,1,Won_WS ,y,4-2),Yankee Stadium I,1537811,19972,1st of 8,$,93,97,
Atlanta Braves,1,1953,Milwaukee Braves,MLB,,2,NL,,92,62,0.597402597,none,2,,n,,County Stadium,1826397,23119,1st of 8,$,92,94,
Baltimore Orioles,9,1953,St. Louis Browns,,,2,AL,,54,100,0.350649351,none,8,,n,,Busch Stadium I,297238,3860,8th of 8,$,106,102,
Boston Red Socks,10,1953,Boston Red Sox,,,1,AL,,84,69,0.549019608,none,4,,n ,,Fenway Park,1026133,13502,4th of 8,$,105,105,
Chicago Cubs,2,1953,Chicago Cubs,,,1,NL,,65,89,0.422077922,none,7,,n,,Wrigley Field,763658,9918,6th of 8,$,103,102,
Chicago White Sox,11,1953,Chicago White Sox,,,1,AL,,89,65,0.577922078,none,3,,n,,Comiskey Park I,1191353,15274,2nd of 8,$,101,103,
Cincinnati Reds,3,1953,Cincinnati Reds,,,3,NL,,68,86,0.441558442,none,6,,n ,,Crosley Field,548086,7027,8th of 8,$,101,100,
Cleveland Indians,12,1953,Cleveland Indians,,,1,AL,,92,62,0.597402597,none,2,,n,,Cleveland Stadium,1069176,13707,3rd of 8,$,94,98,
Detroit Tigers,13,1953,Detroit Tigers,,,1,AL,,60,94,0.38961039,none,6,,n,,Briggs Stadium,884658,11198,5th of 8,$,102,98,
Minnesota Twins,14,1953,Washington Senators,,,2,AL,,76,76,0.5,none,5,,n,,Griffith Stadium,595594,7941,6th of 8,$,98,98,
Oakland Athletics,16,1953,Philadelphia Athletics,,,2,AL,,59,95,0.383116883,none,7,,n,,Connie Mack Stadium,362113,4642,7th of 8,$,107,104,
Philadelphia Phillies,6,1953,Philadelphia Phillies,,,1,NL,,83,71,0.538961039,none,3,,n ,,Connie Mack Stadium,853644,10944,4th of 8,$,98,99,
Pittsburgh Pirates,4,1953,Pittsburgh Pirates,,,1,NL,,50,104,0.324675325,none,8,,n,,Forbes Field,572757,7438,7th of 8,$,104,99,
San Francisco Giants,7,1953,New York Giants,,,2,NL,,70,84,0.454545455,none,5,,n,,Polo Grounds V,811518,10539,5th of 8,$,101,103,
St. Louis Cardinals,5,1953,St. Louis Cardinals,,,1,NL,,83,71,0.538961039,none,3,,n,,Busch Stadium I,880242,11285,3rd of 8,$,99,100,
Cleveland Indians,12,1954,Cleveland Indians,,,1,AL,,111,43,0.720779221,toppct,1,Lost_WS ,n,4-0),Cleveland Stadium,1335472,17344,2nd of 8,$,98,102,
San Francisco Giants,7,1954,New York Giants,,,2,NL,,97,57,0.62987013,both,1,Won_WS ,y,4-0),Polo Grounds V,1155067,15198,2nd of 8,$,100,101,
Atlanta Braves,1,1954,Milwaukee Braves,,,2,NL,,89,65,0.577922078,none,3,,n,,County Stadium,2131388,27680,1st of 8,$,92,94,
Baltimore Orioles,9,1954,Baltimore Orioles,BAL,,1,AL,,54,100,0.350649351,none,7,,n,,Memorial Stadium,1060910,13778,5th of 8,$,96,92,
Boston Red Socks,10,1954,Boston Red Sox,,,1,AL,,69,85,0.448051948,none,4,,n ,,Fenway Park,931127,11786,6th of 8,$,110,111,
Chicago Cubs,2,1954,Chicago Cubs,,,1,NL,,64,90,0.415584416,none,7,,n,,Wrigley Field,748183,9717,5th of 8,$,103,101,
Chicago White Sox,11,1954,Chicago White Sox,,,1,AL,,94,60,0.61038961,none,3,,n,,Comiskey Park I,1231629,15790,3rd of 8,$,100,103,
Cincinnati Reds,3,1954,Cincinnati Redlegs,CRL,,2,NL,,74,80,0.480519481,none,5,,n ,,Crosley Field,704167,9145,7th of 8,$,103,102,
Detroit Tigers,13,1954,Detroit Tigers,,,1,AL,,68,86,0.441558442,none,5,,n,,Briggs Stadium,1079847,14024,4th of 8,$,100,99,
Los Angeles Dodgers,8,1954,Brooklyn Dodgers,,,2,NL,,92,62,0.597402597,none,2,,n,,Ebbets Field,1020531,13254,4th of 8,$,101,104,
Minnesota Twins,14,1954,Washington Senators,,,2,AL,,66,88,0.428571429,none,6,,n,,Griffith Stadium,503542,6456,7th of 8,$,96,94,
New York Yankees,15,1954,New York Yankees,,,1,AL,,103,51,0.668831169,none,2,,n,,Yankee Stadium I,1475171,18912,1st of 8,$,93,97,
Oakland Athletics,16,1954,Philadelphia Athletics,,,2,AL,,51,103,0.331168831,none,8,,n,,Connie Mack Stadium,304666,3957,8th of 8,$,105,100,
Philadelphia Phillies,6,1954,Philadelphia Phillies,,,1,NL,,75,79,0.487012987,none,4,,n ,,Connie Mack Stadium,738991,9474,6th of 8,$,99,100,
Pittsburgh Pirates,4,1954,Pittsburgh Pirates,,,1,NL,,53,101,0.344155844,none,8,,n,,Forbes Field,475494,6175,8th of 8,$,102,98,
St. Louis Cardinals,5,1954,St. Louis Cardinals,,,1,NL,,72,82,0.467532468,none,6,,n,,Busch Stadium I,1039698,13503,3rd of 8,$,101,100,
New York Yankees,15,1955,New York Yankees,,,1,AL,,96,58,0.623376623,toppct,1,Lost_WS ,n ,4-3),Yankee Stadium I,1490138,19352,1st of 8,$,95,99,
Los Angeles Dodgers,8,1955,Brooklyn Dodgers,,,2,NL,,98,55,0.640522876,both,1,Won_WS ,y,4-3),Ebbets Field,1033589,13423,2nd of 8,$,101,104,
Atlanta Braves,1,1955,Milwaukee Braves,,,2,NL,,85,69,0.551948052,none,2,,n,,County Stadium,2005836,26050,1st of 8,$,93,96,
Baltimore Orioles,9,1955,Baltimore Orioles,,,1,AL,,57,97,0.37012987,none,7,,n,,Memorial Stadium,852039,10785,7th of 8,$,96,92,
Boston Red Socks,10,1955,Boston Red Sox,,,1,AL,,84,70,0.545454545,none,4,,n ,,Fenway Park,1203200,15426,4th of 8,$,109,110,
Chicago Cubs,2,1955,Chicago Cubs,,,1,NL,,72,81,0.470588235,none,6,,n,,Wrigley Field,875800,11374,4th of 8,$,102,100,
Chicago White Sox,11,1955,Chicago White Sox,,,1,AL,,91,63,0.590909091,none,3,,n,,Comiskey Park I,1175684,15269,6th of 8,$,99,103,
Cincinnati Reds,3,1955,Cincinnati Redlegs,,,2,NL,,75,79,0.487012987,none,5,,n ,,Crosley Field,693662,9009,7th of 8,$,104,105,
Cleveland Indians,12,1955,Cleveland Indians,,,1,AL,,93,61,0.603896104,none,2,,n,,Cleveland Stadium,1221780,15867,3rd of 8,$,101,104,
Detroit Tigers,13,1955,Detroit Tigers,,,1,AL,,79,75,0.512987013,none,5,,n,,Briggs Stadium,1181838,15349,5th of 8,$,98,98,
Minnesota Twins,14,1955,Washington Senators,,,2,AL,,53,101,0.344155844,none,8,,n,,Griffith Stadium,425238,5523,8th of 8,$,100,97,
Oakland Athletics,16,1955,Kansas City Athletics,KCA,,2,AL,,63,91,0.409090909,none,6,,n,,Municipal Stadium,1393054,18330,2nd of 8,$,105,100,
Philadelphia Phillies,6,1955,Philadelphia Phillies,,,1,NL,,77,77,0.5,none,4,,n ,,Connie Mack Stadium,922886,11986,3rd of 8,$,98,98,
Pittsburgh Pirates,4,1955,Pittsburgh Pirates,,,1,NL,,60,94,0.38961039,none,8,,n,,Forbes Field,469397,6259,8th of 8,$,101,98,
San Francisco Giants,7,1955,New York Giants,,,2,NL,,80,74,0.519480519,none,3,,n,,Polo Grounds V,824112,10432,6th of 8,$,101,101,
St. Louis Cardinals,5,1955,St. Louis Cardinals,,,1,NL,,68,86,0.441558442,none,7,,n,,Busch Stadium I,849130,11028,5th of 8,$,100,99,
Los Angeles Dodgers,8,1956,Brooklyn Dodgers,,,2,NL,,93,61,0.603896104,toppct,1,Lost_WS ,n ,4-3),Ebbets Field &  Roosevelt Stadium,1213562,15761,2nd of 8,$,107,109,
New York Yankees,15,1956,New York Yankees,,,1,AL,,97,57,0.62987013,both,1,Won_WS ,y,4-3),Yankee Stadium I,1491784,19374,1st of 8,$,93,97,
Atlanta Braves,1,1956,Milwaukee Braves,,,2,NL,,92,62,0.597402597,none,2,,n,,County Stadium,2046331,26576,1st of 8,$,92,94,
Baltimore Orioles,9,1956,Baltimore Orioles,,,1,AL,,69,85,0.448051948,none,6,,n,,Memorial Stadium,901201,11704,6th of 8,$,94,92,
Boston Red Socks,10,1956,Boston Red Sox,,,1,AL,,84,70,0.545454545,none,4,,n ,,Fenway Park,1137158,14579,2nd of 8,$,111,113,
Chicago Cubs,2,1956,Chicago Cubs,,,1,NL,,60,94,0.38961039,none,8,,n,,Wrigley Field,720118,9001,7th of 8,$,101,99,
Chicago White Sox,11,1956,Chicago White Sox,,,1,AL,,85,69,0.551948052,none,3,,n,,Comiskey Park I,1000090,12988,5th of 8,$,99,101,
Cincinnati Reds,3,1956,Cincinnati Redlegs,,,2,NL,,91,63,0.590909091,none,3,,n ,,Crosley Field,1125928,14622,3rd of 8,$,105,106,
Cleveland Indians,12,1956,Cleveland Indians,,,1,AL,,88,66,0.571428571,none,2,,n,,Cleveland Stadium,865467,11240,7th of 8,$,101,103,
Detroit Tigers,13,1956,Detroit Tigers,,,1,AL,,82,72,0.532467532,none,5,,n,,Briggs Stadium,1051182,13477,3rd of 8,$,100,101,
Minnesota Twins,14,1956,Washington Senators,,,2,AL,,59,95,0.383116883,none,7,,n,,Griffith Stadium,431647,5606,8th of 8,$,100,96,
Oakland Athletics,16,1956,Kansas City Athletics,,,2,AL,,52,102,0.337662338,none,8,,n,,Municipal Stadium,1015154,13184,4th of 8,$,104,100,
Philadelphia Phillies,6,1956,Philadelphia Phillies,,,1,NL,,71,83,0.461038961,none,5,,n ,,Connie Mack Stadium,934798,12140,6th of 8,$,99,98,
Pittsburgh Pirates,4,1956,Pittsburgh Pirates,,,1,NL,,66,88,0.428571429,none,7,,n,,Forbes Field,949878,12178,5th of 8,$,100,97,
San Francisco Giants,7,1956,New York Giants,,,2,NL,,67,87,0.435064935,none,6,,n,,Polo Grounds V,629179,8171,8th of 8,$,100,99,
St. Louis Cardinals,5,1956,St. Louis Cardinals,,,1,NL,,76,78,0.493506494,none,4,,n,,Busch Stadium I,1029773,13202,4th of 8,$,100,100,
New York Yankees,15,1957,New York Yankees,,,1,AL,,98,56,0.636363636,toppct,1,Lost_WS ,n ,4-3),Yankee Stadium I,1497134,19443,1st of 8,$,95,99,
